schedule,seed,event_count,declared_horizon,last_event_time,failures,first_failure_event,n_f,mean_collision_burden,peak_collision_burden,damage_auc,peak_damage,final_event_damage,adjacent_conflict_count,conflicting_pair_count
conflict_aware,6209,20,69,69,2,9,9,0.4761550916,1.1296997535,6.8690706088,0.4983644118,0.3996844918,7,46
clustered,6210,20,69,20,4,13,13,2.1640476908,4.5126007324,32.7823056102,3.6454753527,3.6454753527,2,59
random_sparse_a,6210,20,69,69,1,16,16,0.5804271161,1.9024409956,6.8618166747,0.8847466319,0.8847466319,2,59
random_sparse_b,6210,20,69,69,1,16,16,0.5827412615,2.4227262306,6.4320753199,0.8806850284,0.8806850284,2,59
ulam_spaced,6210,20,69,69,1,16,16,0.6370734639,1.9121745887,7.589132109,0.7772722654,0.3028723023,2,59
conflict_aware,6210,20,69,69,1,16,16,0.5052290921,1.2396309331,6.5482866978,0.5417545681,0.2944044323,2,59
clustered,6211,20,69,20,4,4,4,2.5451832607,9.1378268166,36.7164425007,4.2869206295,4.2869206295,6,56
random_sparse_a,6211,20,69,69,3,4,4,0.9615376229,4.7339308091,9.7794542247,1.260481634,1.260481634,6,56
random_sparse_b,6211,20,69,69,3,4,4,1.0516502361,5.6737444514,9.3252287597,1.4839298096,1.4839298096,6,56
ulam_spaced,6211,20,69,69,3,4,4,0.9587179277,3.0935980958,10.3549662181,1.0112291718,0.4607377184,6,56
conflict_aware,6211,20,69,69,2,8,8,0.757690911,1.519969869,8.68109781,0.84704997,0.4765499161,6,56
clustered,6212,20,69,20,8,4,4,3.0265775648,6.5143565535,47.8709867552,4.8184921154,4.5372622268,5,68
random_sparse_a,6212,20,69,69,4,13,13,1.2477507877,4.1374226256,14.2872332954,1.5121431353,0.2489739413,5,68
random_sparse_b,6212,20,69,69,2,13,13,1.1116768988,3.5875566769,11.9778779011,1.1595248236,0.552842355,5,68
ulam_spaced,6212,20,69,69,4,4,4,1.1697666324,3.1441254131,12.8927431069,1.257557376,0.3092597596,5,68
conflict_aware,6212,20,69,69,3,13,13,0.8269800243,1.7422231998,9.4515131067,0.76346778,0.4400092081,5,68
clustered,6213,20,69,20,4,5,5,2.8995248303,7.5271542087,44.0790893845,4.7268609836,4.5479334856,10,72
random_sparse_a,6213,20,69,69,1,5,5,0.9350767507,2.7414762844,9.6365828119,0.8164452013,0.6537840639,10,72
random_sparse_b,6213,20,69,69,2,5,5,1.1062511722,2.884110941,11.6018187108,1.1105444377,0.2806789295,10,72
ulam_spaced,6213,20,69,69,1,5,5,1.0729454725,3.5271072015,12.0413122495,1.1300984289,0.3021741365,10,72
conflict_aware,6213,20,69,69,1,13,13,0.8514621532,2.1383292881,9.6580665059,0.7747362306,0.345412249,10,72
clustered,6214,20,69,20,4,6,6,2.1925094363,4.9798652256,38.3633098343,3.2148419228,3.2148419228,7,51
random_sparse_a,6214,20,69,69,0,,21,1.1345678718,3.9720119022,13.383583533,1.5056878529,0.3130276892,7,51
random_sparse_b,6214,20,69,69,1,6,6,0.8185835823,2.6603164914,9.1812086139,0.7884562112,0.4387854977,7,51
ulam_spaced,6214,20,69,69,0,,21,1.0049239511,3.3772403328,11.4865916227,1.2649432888,0.2654513652,7,51
