world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_40,survival_80,survival_160,mean_active_context_tokens_40,mean_active_context_tokens_80,mean_active_context_tokens_160,peak_active_context_tokens,mean_checkpoint_accuracy_40,mean_checkpoint_accuracy_80,mean_checkpoint_accuracy_160,critical_omissions_40,critical_omissions_80,critical_omissions_160,critical_omission_rate_40,critical_omission_rate_80,critical_omission_rate_160,external_retrievals,successful_retrievals,quarantines,total_active_token_work,final_config_accuracy,final_requirement_accuracy
main,ordinary_summary_reset,7370,160,20,1,20,0,0,0,703.65,715.2875,714.9625,1203,0.86458333,0.875,0.90885417,33,63,111,0.825,0.7875,0.69375,0,0,0,114394,1.0,1.0
main,verified_inheritance_capsule,7370,160,160,1,160,1,1,0,579.9,643.9375,667.075,1173,1.0,0.94270833,0.94270833,2,33,54,0.05,0.4125,0.3375,25,22,0,106732,0.8333333333,0.8333333333
main,capsule_conflict_aware,7370,160,160,1,160,1,1,0,561.2,616.6375,645.7,1168,0.95833333,0.96354167,0.97395833,16,32,43,0.4,0.4,0.26875,27,23,0,103312,0.8333333333,0.8333333333
pressure_disabled_null,continuous_full_history,7370,160,161,0,,1,1,1,1327.65,2391.7875,4518.9625,8742,1.0,1.0,0.97395833,1,3,17,0.025,0.0375,0.10625,0,0,0,723034,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7370,160,160,1,160,1,1,0,578.1,643.6375,665.9125,1169,1.0,0.96875,0.953125,2,18,33,0.05,0.225,0.20625,25,21,0,106546,0.8333333333,0.8333333333
main,continuous_full_history,7371,160,40,1,40,0,0,0,1346.25,2392.9875,4505.2375,8712,0.95833333,0.68229167,0.52864583,19,59,139,0.475,0.7375,0.86875,0,0,0,720838,0.3333333333,0.1666666667
main,ordinary_summary_reset,7371,160,80,1,80,1,0,0,722.25,716.4875,717.4875,1179,0.97916667,0.98958333,0.89322917,24,24,78,0.6,0.3,0.4875,0,0,0,114798,1.0,0.8333333333
main,verified_inheritance_capsule,7371,160,160,1,160,1,1,0,590.45,634.7875,660.8375,1145,1.0,1.0,0.99739583,0,0,0,0.0,0.0,0.0,21,21,1,105734,0.9166666667,0.8333333333
main,capsule_conflict_aware,7371,160,160,1,160,1,1,0,576.125,620.45,654.1125,1143,1.0,1.0,0.9765625,0,0,20,0.0,0.0,0.125,21,20,1,104658,0.9166666667,0.8333333333
pressure_disabled_null,continuous_full_history,7371,160,161,0,,1,1,1,1346.25,2392.9875,4505.2375,8712,0.97916667,0.96354167,0.98177083,21,38,38,0.525,0.475,0.2375,0,0,0,720838,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7371,160,160,1,160,1,1,0,585.6,641.3625,659.65,1186,0.9375,0.92708333,0.9609375,21,38,38,0.525,0.475,0.2375,23,23,1,105544,0.9166666667,0.8333333333
main,continuous_full_history,7372,160,20,1,20,0,0,0,1349.7,2395.175,4499.61875,8665,0.92708333,0.66666667,0.4921875,26,66,146,0.65,0.825,0.9125,0,0,0,719939,0.4166666667,0.1666666667
main,ordinary_summary_reset,7372,160,161,0,,1,1,1,725.7,716.175,709.36875,1183,0.97916667,0.94270833,0.93229167,16,41,71,0.4,0.5125,0.44375,0,0,0,113499,1.0,1.0
main,verified_inheritance_capsule,7372,160,120,1,120,1,1,0,601.1,644.575,657.76875,1168,0.97916667,0.921875,0.86979167,16,45,105,0.4,0.5625,0.65625,28,20,5,105243,1.0,1.0
main,capsule_conflict_aware,7372,160,120,1,120,1,1,0,575.975,616.975,644.81875,1150,0.95833333,0.97916667,0.91145833,15,15,57,0.375,0.1875,0.35625,40,21,17,103171,1.0,1.0
pressure_disabled_null,continuous_full_history,7372,160,161,0,,1,1,1,1349.7,2395.175,4499.61875,8665,0.96875,0.94270833,0.95052083,31,41,61,0.775,0.5125,0.38125,0,0,0,719939,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7372,160,120,1,120,1,1,0,595.3,640.775,659.88125,1163,0.94791667,0.890625,0.875,32,52,112,0.8,0.65,0.7,30,21,6,105581,1.0,1.0
main,continuous_full_history,7373,160,20,1,20,0,0,0,1321.275,2363.9875,4446.225,8635,0.6875,0.5625,0.55729167,26,66,146,0.65,0.825,0.9125,0,0,0,711396,0.5833333333,0.0
main,ordinary_summary_reset,7373,160,140,1,140,1,1,0,702.275,704.9875,704.725,1179,0.90625,0.953125,0.94791667,16,20,55,0.4,0.25,0.34375,0,0,0,112756,1.0,1.0
main,verified_inheritance_capsule,7373,160,120,1,120,1,1,0,572.275,624.8625,648.25,1161,0.96875,0.984375,0.97395833,6,10,45,0.15,0.125,0.28125,28,22,7,103720,1.0,0.8333333333
main,capsule_conflict_aware,7373,160,120,1,120,1,1,0,574.425,624.05,653.3875,1175,1.0,0.97395833,0.96875,5,13,50,0.125,0.1625,0.3125,26,21,6,104542,1.0,0.8333333333
pressure_disabled_null,continuous_full_history,7373,160,161,0,,1,1,1,1321.275,2363.9875,4446.225,8635,0.89583333,0.90104167,0.95052083,20,30,34,0.5,0.375,0.2125,0,0,0,711396,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7373,160,120,1,120,1,1,0,584.875,623.3375,649.85,1161,0.89583333,0.90104167,0.9453125,20,30,54,0.5,0.375,0.3375,29,23,7,103976,1.0,0.8333333333
main,continuous_full_history,7374,160,40,1,40,0,0,0,1321.35,2360.15,4463.90625,8679,0.88541667,0.734375,0.45572917,15,55,135,0.375,0.6875,0.84375,0,0,0,714225,0.0833333333,0.0
main,ordinary_summary_reset,7374,160,60,1,60,1,0,0,707.35,708.65,712.40625,1173,0.9375,0.953125,0.96614583,15,38,51,0.375,0.475,0.31875,0,0,0,113985,1.0,1.0
main,verified_inheritance_capsule,7374,160,20,1,20,0,0,0,580.9,630.75,657.88125,1159,0.91666667,0.94791667,0.9453125,20,26,40,0.5,0.325,0.25,25,23,3,105261,1.0,1.0
main,capsule_conflict_aware,7374,160,20,1,20,0,0,0,568.425,616.1,646.85625,1142,0.91666667,0.94791667,0.94791667,20,29,42,0.5,0.3625,0.2625,24,22,3,103497,1.0,1.0
pressure_disabled_null,continuous_full_history,7374,160,161,0,,1,1,1,1321.35,2360.15,4463.90625,8679,1.0,0.98958333,0.99479167,0,11,15,0.0,0.1375,0.09375,0,0,0,714225,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7374,160,20,1,20,0,0,0,578.2,636.825,659.13125,1187,0.89583333,0.89583333,0.94010417,20,50,54,0.5,0.625,0.3375,24,23,3,105461,1.0,1.0
main,continuous_full_history,7375,160,20,1,20,0,0,0,1358.925,2408.25,4537.25625,8769,0.79166667,0.51041667,0.42447917,36,76,156,0.9,0.95,0.975,0,0,0,725961,0.4166666667,0.1666666667
main,ordinary_summary_reset,7375,160,20,1,20,0,0,0,724.925,719.25,723.25625,1203,0.79166667,0.89583333,0.89322917,36,36,94,0.9,0.45,0.5875,0,0,0,115721,1.0,1.0
main,verified_inheritance_capsule,7375,160,60,1,60,1,0,0,598.525,647.525,678.33125,1177,0.91666667,0.81770833,0.875,16,56,91,0.4,0.7,0.56875,31,21,6,108533,1.0,1.0
main,capsule_conflict_aware,7375,160,60,1,60,1,0,0,576.275,635.7625,652.275,1172,1.0,0.90104167,0.94791667,0,20,26,0.0,0.25,0.1625,36,21,15,104364,1.0,1.0
pressure_disabled_null,continuous_full_history,7375,160,161,0,,1,1,1,1358.925,2408.25,4537.25625,8769,1.0,0.95833333,0.953125,0,17,49,0.0,0.2125,0.30625,0,0,0,725961,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7375,160,60,1,60,1,0,0,595.375,645.95,670.61875,1177,0.96875,0.81770833,0.8828125,8,47,80,0.2,0.5875,0.5,33,23,6,107299,1.0,1.0
main,continuous_full_history,7376,160,40,1,40,0,0,0,1332.575,2374.4,4460.33125,8592,0.97916667,0.74479167,0.5546875,3,43,123,0.075,0.5375,0.76875,0,0,0,713653,0.4166666667,0.1666666667
main,ordinary_summary_reset,7376,160,161,0,,1,1,1,708.575,705.4,708.83125,1173,0.97916667,0.97916667,0.97395833,8,20,46,0.2,0.25,0.2875,0,0,0,113413,1.0,1.0
main,verified_inheritance_capsule,7376,160,160,1,160,1,1,0,576.775,626.225,657.49375,1156,1.0,0.98958333,0.97395833,0,12,38,0.0,0.15,0.2375,22,22,1,105199,0.8333333333,0.8333333333
