world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_160,survival_320,mean_active_context_tokens_160,mean_active_context_tokens_320,mean_checkpoint_accuracy_160,mean_checkpoint_accuracy_320,critical_omission_rate_160,critical_omission_rate_320,mean_epsilon_160,mean_epsilon_320,minimum_margin_160,minimum_margin_320,restorations,pruned_tokens,ecc_corrections,external_retrievals,quarantines,final_config_accuracy,final_requirement_accuracy
main,restoration_stack,8155,320,105,1,105,0,0,667.40625,645.815625,0.9713541666666666,0.9700520833333334,0.59375,0.609375,0.431192803361715,0.4532973831254539,0.2565375826632569,-0.07747031323021969,6,240,5,66,2,1.0,1.0
main,sham_retirement_85,8155,320,105,1,105,0,0,695.71875,693.478125,0.9140625,0.9270833333333334,0.75,0.703125,0.5998483451427139,0.647065652300386,-0.13440693040651852,-0.5656120948456123,3,0,0,30,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8155,320,105,1,105,0,0,727.96875,740.5875,0.9140625,0.9270833333333334,0.75,0.703125,0.10667114797214523,0.11500901244932145,0.34381530172402863,0.0594818544934701,0,0,0,30,1,1.0,1.0
pressure_disabled_null,restoration_stack,8155,320,105,1,105,0,0,720.09375,729.15,0.9635416666666666,0.97265625,0.71875,0.65625,0.09529048082703334,0.09877270259083228,0.5358079461866923,0.5358079461866923,0,240,6,30,1,1.0,1.0
main,capsule_baseline,8156,320,321,0,,1,1,736.0125,742.61875,0.9739583333333334,0.9557291666666666,0.625,0.75,0.5519094839054485,0.6267042073026444,0.12089210143794404,-0.15410019844114453,0,0,0,31,1,1.0,1.0
main,scheduled_prune_80,8156,320,321,0,,1,1,728.1375,731.18125,0.9739583333333334,0.9557291666666666,0.625,0.75,0.5373155018357084,0.5986478529553907,0.12127207032678033,-0.15346539545609406,0,240,0,31,1,1.0,1.0
main,fixed_retirement_85,8156,320,321,0,,1,1,701.60625,694.728125,0.9739583333333334,0.9609375,0.5625,0.6875,0.5025612944853679,0.5532023713234155,0.12332631165435404,-0.15091337720572007,3,0,0,46,1,1.0,1.0
main,telemetry_breaker,8156,320,321,0,,1,1,679.34375,661.2125,0.9765625,0.96875,0.5625,0.65625,0.427514341683464,0.4601460378327686,0.18062231303948428,-0.09233231480580906,7,0,0,70,1,1.0,1.0
main,ecc_digest,8156,320,321,0,,1,1,736.0125,742.61875,0.9791666666666666,0.9739583333333334,0.5625,0.65625,0.546882087603149,0.5986561949023461,0.15005016507658198,0.06312607571045659,0,0,6,31,1,1.0,1.0
main,restoration_stack,8156,320,321,0,,1,1,676.04375,665.765625,0.9791666666666666,0.98046875,0.53125,0.609375,0.4096580157381079,0.43847793986313777,0.3976321231870418,0.32511554474967796,6,240,5,65,2,1.0,1.0
