world,mode,schedule,seed,horizon_ticks,n_f_ticks,failed,first_failure_tick,disturbances_at_failure,final_disturbances_seen,mean_checkpoint_accuracy,minimum_checkpoint_accuracy,critical_omission_events,mean_critical_omissions,peak_critical_omissions,mean_active_context_tokens,peak_active_context_tokens,peak_instantaneous_rate,peak_rolling_rate_burden,synthetic_damage_auc,total_token_work,final_config_accuracy,final_requirement_accuracy
rate_sensitive,continuous_history,sudden_burst,8202,160,22,1,22,5,20,0.9583333333,0.75,3,0.1875,1,595.6375,1070,0.8333333333,9.7292,615.4541987142,3480,1.0,1.0
rate_sensitive,continuous_history,burst_recovery,8202,160,45,1,45,6,20,0.96875,0.75,2,0.125,1,612.8625,1070,0.3333333333,5.7679770475,124.3205790105,3480,1.0,1.0
rate_sensitive,ordinary_summary,slow_drip,8202,160,161,0,,,20,1.0,1.0,0,0.0,0,359.6625,530,0.1666666667,3.4328449825,35.5450214626,3480,1.0,1.0
rate_sensitive,ordinary_summary,steady_load,8202,160,161,0,,,20,1.0,1.0,0,0.0,0,359.3875,530,0.1666666667,3.8008926698,47.6278734494,3480,1.0,1.0
rate_sensitive,ordinary_summary,sudden_burst,8202,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,358.7,530,0.8333333333,9.7292,607.7041987142,3480,1.0,1.0
rate_sensitive,ordinary_summary,burst_recovery,8202,160,161,0,,,20,1.0,1.0,0,0.0,0,375.925,530,0.3333333333,5.7679770475,118.0705790105,3480,1.0,1.0
rate_sensitive,verified_capsule,slow_drip,8202,160,12,1,12,2,20,0.953125,0.75,4,0.25,1,374.7875,550,0.1666666667,3.4328449825,49.2950214626,3480,1.0,1.0
rate_sensitive,verified_capsule,steady_load,8202,160,14,1,14,2,20,0.953125,0.75,4,0.25,1,374.5125,550,0.1666666667,3.8008926698,58.6278734494,3480,1.0,1.0
rate_sensitive,verified_capsule,sudden_burst,8202,160,19,1,19,2,20,0.9010416667,0.5833333333,6,0.5625,2,373.825,550,0.8333333333,9.7292,625.9541987142,3480,1.0,1.0
rate_sensitive,verified_capsule,burst_recovery,8202,160,6,1,6,2,20,0.9375,0.75,5,0.3125,1,391.05,550,0.3333333333,5.7679770475,134.0705790105,3480,1.0,1.0
rate_disabled_null,continuous_history,slow_drip,8202,160,161,0,,,20,0.8645833333,0.8333333333,13,0.8125,1,596.6,1070,0.1666666667,3.4328449825,66.7950214626,3480,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,steady_load,8202,160,161,0,,,20,0.8645833333,0.8333333333,13,0.8125,1,596.325,1070,0.1666666667,3.8008926698,79.8778734494,3480,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,sudden_burst,8202,160,161,0,,,20,0.8541666666,0.8333333333,14,0.875,1,595.6375,1070,0.8333333333,9.7292,640.9541987142,3480,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,burst_recovery,8202,160,161,0,,,20,0.8645833333,0.8333333333,13,0.8125,1,612.8625,1070,0.3333333333,5.7679770475,149.5705790105,3480,0.8333333333,0.8333333333
rate_disabled_null,ordinary_summary,slow_drip,8202,160,4,1,4,1,20,0.7447916667,0.6666666667,16,1.0,1,359.6625,530,0.1666666667,3.4328449825,74.7950214626,3480,0.6666666667,0.8333333333
rate_disabled_null,ordinary_summary,steady_load,8202,160,8,1,8,1,20,0.7447916667,0.6666666667,16,1.0,1,359.3875,530,0.1666666667,3.8008926698,85.8778734494,3480,0.6666666667,0.8333333333
rate_disabled_null,ordinary_summary,sudden_burst,8202,160,18,1,18,1,20,0.7552083333,0.6666666667,15,0.9375,1,358.7,530,0.8333333333,9.7292,641.9541987142,3480,0.6666666667,0.8333333333
rate_disabled_null,ordinary_summary,burst_recovery,8202,160,5,1,5,1,20,0.7447916667,0.6666666667,16,1.0,1,375.925,530,0.3333333333,5.7679770475,157.0705790105,3480,0.6666666667,0.8333333333
rate_disabled_null,verified_capsule,slow_drip,8202,160,4,1,4,1,20,0.9322916667,0.5833333333,3,0.3125,2,374.7875,550,0.1666666667,3.4328449825,49.5450214626,3480,1.0,1.0
rate_disabled_null,verified_capsule,steady_load,8202,160,8,1,8,1,20,0.9322916667,0.5833333333,3,0.3125,2,374.5125,550,0.1666666667,3.8008926698,60.6278734494,3480,1.0,1.0
rate_disabled_null,verified_capsule,sudden_burst,8202,160,18,1,18,1,20,0.9479166667,0.5833333333,2,0.25,2,373.825,550,0.8333333333,9.7292,616.7041987142,3480,1.0,1.0
rate_disabled_null,verified_capsule,burst_recovery,8202,160,5,1,5,1,20,0.9322916667,0.5833333333,3,0.3125,2,391.05,550,0.3333333333,5.7679770475,131.8205790105,3480,1.0,1.0
rate_sensitive,continuous_history,slow_drip,8203,160,84,1,84,11,20,0.9322916667,0.75,6,0.375,1,603.6,1070,0.1666666667,3.4550983982,46.2237373162,3480,0.8333333333,0.8333333333
