run_family,mode,schedule,seed,crack_initiation_cycle,origin_event_id,origin_target,origin_amplitude,peak_cycle,max_crack_load,crack_burden,longest_active_span,repair_half_life_cycles,first_failure_cycle,cycles_from_crack_to_failure,dominant_nodes
primary,fresh_ground_truth,alternating,101,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,202,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,303,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,404,9,s404-e04,handoff_depth,high,9,3,3,1,1,9,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,505,13,s505-e07,handoff_depth,high,13,2,2,1,1,,,dependency:handoff_depth|signal:new_contradiction
primary,fresh_ground_truth,alternating,606,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,707,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,808,1,s808-e04,token_capacity,high,1,3,6,1,1,1,0,signal:new_contradiction|signal:unsafe_attempt|dependency:token_capacity|dependency:memory_horizon
primary,fresh_ground_truth,alternating,909,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1010,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1111,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1212,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1313,9,s1313-e11,handoff_depth,high,9,3,3,1,1,9,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,1414,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1515,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1616,1,s1616-e00,handoff_depth,high,1,3,3,1,1,1,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,1717,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1818,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1919,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2020,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2121,7,s2121-e05,risk_tolerance,medium,7,2,2,1,1,,,dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,alternating,2222,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2323,5,s2323-e02,latency_floor,high,5,2,2,1,1,5,0,signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,2424,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2525,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2626,11,s2626-e12,risk_tolerance,medium,11,2,6,1,1,16,5,invariant:evidence_fits_token_budget|signal:unsafe_attempt|dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,101,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,202,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,303,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,404,3,s404-e04,handoff_depth,high,3,3,3,1,1,3,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,505,4,s505-e07,handoff_depth,high,4,2,2,1,1,,,dependency:handoff_depth|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,606,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,707,14,s707-e00,handoff_depth,low,14,2,2,1,1,,,dependency:handoff_depth|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,808,1,s808-e04,token_capacity,high,1,3,5,1,1,1,0,signal:new_contradiction|signal:unsafe_attempt|dependency:token_capacity
primary,fresh_ground_truth,high_to_low,909,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1010,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1111,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1212,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1313,3,s1313-e11,handoff_depth,high,3,3,3,1,1,3,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,1414,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1515,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1616,1,s1616-e00,handoff_depth,high,1,3,3,1,1,1,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,1717,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1818,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1919,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,2020,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,2121,9,s2121-e05,risk_tolerance,medium,9,2,2,1,1,,,dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,2222,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,2323,2,s2323-e02,latency_floor,high,2,3,3,1,1,2,0,dependency:latency_floor|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,2424,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,2525,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,2626,10,s2626-e12,risk_tolerance,medium,10,1,1,1,1,10,0,signal:new_contradiction
primary,fresh_ground_truth,low_to_high,101,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,202,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,303,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,404,16,s404-e04,handoff_depth,high,16,3,3,1,1,16,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,low_to_high,505,17,s505-e07,handoff_depth,high,17,3,3,1,1,17,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,low_to_high,606,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,707,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,808,10,s808-e03,memory_horizon,medium,14,3,5,1,1,10,0,signal:new_contradiction|signal:unsafe_attempt|dependency:token_capacity
primary,fresh_ground_truth,low_to_high,909,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1010,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1111,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1212,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1313,16,s1313-e11,handoff_depth,high,16,3,3,1,1,16,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,low_to_high,1414,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1515,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1616,14,s1616-e00,handoff_depth,high,14,3,3,1,1,14,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,low_to_high,1717,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1818,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,1919,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,2020,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,2121,9,s2121-e05,risk_tolerance,medium,9,2,2,1,1,,,dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,low_to_high,2222,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,2323,15,s2323-e02,latency_floor,high,15,2,2,1,1,,,dependency:latency_floor|signal:new_contradiction
primary,fresh_ground_truth,low_to_high,2424,14,s2424-e01,latency_floor,high,14,3,3,1,1,14,0,dependency:latency_floor|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,low_to_high,2525,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,low_to_high,2626,10,s2626-e12,risk_tolerance,medium,17,2,5,2,2,10,0,invariant:evidence_fits_token_budget|signal:unsafe_attempt|signal:new_contradiction
primary,fresh_ground_truth,randomized,101,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,202,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,303,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,404,3,s404-e04,handoff_depth,high,3,3,3,1,1,3,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,randomized,505,16,s505-e07,handoff_depth,high,16,3,3,1,1,16,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,randomized,606,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,707,20,s707-e00,handoff_depth,low,20,1,1,1,,20,0,signal:new_contradiction
primary,fresh_ground_truth,randomized,808,9,s808-e03,memory_horizon,medium,9,3,4,2,1,9,0,signal:unsafe_attempt|dependency:memory_horizon|signal:new_contradiction
primary,fresh_ground_truth,randomized,909,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1010,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1111,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1212,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1313,19,s1313-e11,handoff_depth,high,19,3,3,1,1,19,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,randomized,1414,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1515,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1616,3,s1616-e00,handoff_depth,high,3,3,3,1,1,3,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,randomized,1717,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1818,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,1919,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,2020,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,2121,12,s2121-e05,risk_tolerance,medium,12,2,2,1,1,,,dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,randomized,2222,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,2323,14,s2323-e02,latency_floor,high,14,2,2,1,1,,,dependency:latency_floor|signal:new_contradiction
primary,fresh_ground_truth,randomized,2424,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,2525,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,randomized,2626,5,s2626-e12,risk_tolerance,medium,19,2,3,1,1,5,0,signal:new_contradiction|invariant:evidence_fits_token_budget|signal:unsafe_attempt
primary,persistent_history,alternating,101,3,s101-e04,handoff_depth,medium,17,7,90,18,,3,0,dependency:handoff_depth|signal:unsafe_attempt|dependency:retry_demand|dependency:history_overflow|signal:new_contradiction
primary,persistent_history,alternating,202,5,s202-e03,retry_demand,high,20,8,84,16,,6,1,dependency:history_overflow|dependency:retry_demand|signal:unsafe_attempt|dependency:latency_floor|signal:new_contradiction
primary,persistent_history,alternating,303,2,s303-e00,retry_demand,low,10,7,78,19,4,2,0,dependency:retry_demand|signal:unsafe_attempt|dependency:history_overflow|dependency:token_capacity|signal:new_contradiction
primary,persistent_history,alternating,404,3,s404-e01,retry_demand,medium,20,8,75,18,,5,2,dependency:retry_demand|dependency:history_overflow|signal:unsafe_attempt|signal:new_contradiction|dependency:token_capacity
primary,persistent_history,alternating,505,5,s505-e03,latency_floor,high,20,10,46,16,,9,4,dependency:history_overflow|signal:unsafe_attempt|dependency:token_capacity|signal:new_contradiction|dependency:latency_floor
primary,persistent_history,alternating,606,1,s606-e01,risk_tolerance,high,20,10,81,16,,5,4,dependency:risk_tolerance|dependency:history_overflow|signal:unsafe_attempt|signal:new_contradiction|dependency:memory_horizon
primary,persistent_history,alternating,707,6,s707-e06,latency_floor,low,20,8,66,15,,11,5,dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|signal:unsafe_attempt|dependency:risk_tolerance
primary,persistent_history,alternating,808,5,s808-e08,handoff_depth,high,15,7,61,16,,11,6,dependency:history_overflow|dependency:memory_horizon|signal:unsafe_attempt|dependency:token_capacity|signal:new_contradiction
primary,persistent_history,alternating,909,2,s909-e04,latency_floor,low,15,7,77,19,4,5,3,dependency:history_overflow|signal:unsafe_attempt|dependency:memory_horizon|dependency:retry_demand|signal:new_contradiction
primary,persistent_history,alternating,1010,5,s1010-e03,retry_demand,high,20,9,45,16,,15,10,dependency:history_overflow|dependency:risk_tolerance|signal:new_contradiction|dependency:memory_horizon|signal:unsafe_attempt
primary,persistent_history,alternating,1111,2,s1111-e01,risk_tolerance,low,20,10,104,19,,5,3,dependency:risk_tolerance|dependency:history_overflow|signal:new_contradiction|dependency:memory_horizon|signal:unsafe_attempt
primary,persistent_history,alternating,1212,1,s1212-e01,retry_demand,high,20,8,74,20,,5,4,signal:unsafe_attempt|dependency:history_overflow|dependency:retry_demand|signal:new_contradiction|dependency:latency_floor
primary,persistent_history,alternating,1313,5,s1313-e10,retry_demand,high,15,9,84,16,,6,1,dependency:history_overflow|signal:unsafe_attempt|dependency:retry_demand|dependency:handoff_depth|signal:new_contradiction
primary,persistent_history,alternating,1414,5,s1414-e03,handoff_depth,high,15,9,81,16,,5,0,signal:unsafe_attempt|dependency:history_overflow|dependency:handoff_depth|dependency:retry_demand|dependency:latency_floor
primary,persistent_history,alternating,1515,1,s1515-e00,latency_floor,high,15,9,93,20,,1,0,dependency:latency_floor|signal:unsafe_attempt|dependency:history_overflow|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,alternating,1616,5,s1616-e01,handoff_depth,high,20,10,63,16,,10,5,dependency:history_overflow|dependency:memory_horizon|dependency:risk_tolerance|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,alternating,1717,5,s1717-e09,latency_floor,high,15,8,76,16,,7,2,dependency:history_overflow|signal:unsafe_attempt|dependency:latency_floor|dependency:handoff_depth|signal:new_contradiction
primary,persistent_history,alternating,1818,5,s1818-e02,risk_tolerance,high,10,7,77,16,,9,4,dependency:history_overflow|dependency:handoff_depth|dependency:risk_tolerance|signal:unsafe_attempt|signal:new_contradiction
primary,persistent_history,alternating,1919,5,s1919-e07,retry_demand,high,20,8,52,16,,12,7,dependency:history_overflow|signal:unsafe_attempt|dependency:retry_demand|signal:new_contradiction|dependency:latency_floor
primary,persistent_history,alternating,2020,1,s2020-e00,memory_horizon,high,20,7,54,20,,1,0,dependency:history_overflow|dependency:risk_tolerance|signal:unsafe_attempt|dependency:memory_horizon|signal:new_contradiction
primary,persistent_history,alternating,2121,5,s2121-e01,handoff_depth,high,20,8,80,16,,8,3,dependency:history_overflow|dependency:memory_horizon|signal:new_contradiction|signal:unsafe_attempt|dependency:risk_tolerance
primary,persistent_history,alternating,2222,1,s2222-e01,handoff_depth,high,20,10,65,20,,1,0,signal:unsafe_attempt|dependency:history_overflow|dependency:handoff_depth|signal:new_contradiction|dependency:risk_tolerance
primary,persistent_history,alternating,2323,2,s2323-e03,latency_floor,low,20,9,75,17,,5,3,dependency:latency_floor|dependency:history_overflow|dependency:memory_horizon|signal:new_contradiction|dependency:risk_tolerance
primary,persistent_history,alternating,2424,5,s2424-e02,retry_demand,high,20,8,53,16,,5,0,dependency:history_overflow|dependency:retry_demand|signal:unsafe_attempt|dependency:token_capacity|signal:new_contradiction
primary,persistent_history,alternating,2525,5,s2525-e03,latency_floor,high,20,7,64,16,,11,6,dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|signal:unsafe_attempt|dependency:token_capacity
primary,persistent_history,alternating,2626,4,s2626-e02,latency_floor,low,18,8,80,17,,6,2,dependency:history_overflow|signal:unsafe_attempt|dependency:latency_floor|dependency:risk_tolerance|signal:new_contradiction
primary,persistent_history,high_to_low,101,3,s101-e09,risk_tolerance,high,17,8,98,18,,5,2,dependency:history_overflow|dependency:risk_tolerance|dependency:retry_demand|signal:unsafe_attempt|dependency:handoff_depth
primary,persistent_history,high_to_low,202,2,s202-e03,retry_demand,high,20,8,71,19,,4,2,dependency:history_overflow|dependency:latency_floor|signal:unsafe_attempt|signal:new_contradiction|dependency:token_capacity
primary,persistent_history,high_to_low,303,3,s303-e04,token_capacity,high,15,8,108,18,,3,0,dependency:token_capacity|signal:unsafe_attempt|dependency:history_overflow|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,high_to_low,404,4,s404-e05,token_capacity,high,8,5,54,17,7,7,3,dependency:history_overflow|signal:unsafe_attempt|dependency:latency_floor|signal:new_contradiction|dependency:retry_demand
primary,persistent_history,high_to_low,505,3,s505-e05,latency_floor,high,15,8,92,18,,3,0,signal:unsafe_attempt|dependency:history_overflow|dependency:latency_floor|dependency:token_capacity|dependency:handoff_depth
primary,persistent_history,high_to_low,606,1,s606-e01,risk_tolerance,high,10,7,90,20,8,3,2,signal:unsafe_attempt|dependency:history_overflow|dependency:risk_tolerance|dependency:retry_demand|dependency:memory_horizon
primary,persistent_history,high_to_low,707,4,s707-e07,risk_tolerance,high,19,8,84,17,,5,1,dependency:history_overflow|signal:unsafe_attempt|signal:new_contradiction|dependency:handoff_depth|dependency:token_capacity
primary,persistent_history,high_to_low,808,4,s808-e11,latency_floor,high,20,6,49,17,,10,6,dependency:history_overflow|signal:unsafe_attempt|dependency:memory_horizon|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,high_to_low,909,4,s909-e09,latency_floor,high,15,7,79,17,,8,4,dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|dependency:memory_horizon|dependency:retry_demand
primary,persistent_history,high_to_low,1010,4,s1010-e10,handoff_depth,high,20,10,74,17,,7,3,dependency:history_overflow|signal:unsafe_attempt|dependency:latency_floor|dependency:memory_horizon|signal:new_contradiction
primary,persistent_history,high_to_low,1111,3,s1111-e06,token_capacity,high,20,10,117,18,,3,0,signal:unsafe_attempt|dependency:history_overflow|dependency:token_capacity|dependency:latency_floor|dependency:risk_tolerance
primary,persistent_history,high_to_low,1212,1,s1212-e01,retry_demand,high,20,9,72,20,,2,1,signal:unsafe_attempt|dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|dependency:retry_demand
primary,persistent_history,high_to_low,1313,4,s1313-e12,retry_demand,high,20,9,62,17,,11,7,dependency:history_overflow|signal:unsafe_attempt|dependency:memory_horizon|signal:new_contradiction|dependency:risk_tolerance
primary,persistent_history,high_to_low,1414,2,s1414-e03,handoff_depth,high,18,9,108,19,,2,0,dependency:handoff_depth|signal:unsafe_attempt|dependency:history_overflow|dependency:retry_demand|signal:new_contradiction
primary,persistent_history,high_to_low,1515,1,s1515-e00,latency_floor,high,15,8,92,20,,1,0,signal:unsafe_attempt|dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|dependency:retry_demand
primary,persistent_history,high_to_low,1616,4,s1616-e10,latency_floor,high,20,9,72,17,,6,2,dependency:history_overflow|signal:unsafe_attempt|dependency:handoff_depth|dependency:memory_horizon|signal:new_contradiction
primary,persistent_history,high_to_low,1717,4,s1717-e14,retry_demand,high,20,8,71,17,,7,3,dependency:history_overflow|dependency:latency_floor|signal:unsafe_attempt|signal:new_contradiction|dependency:token_capacity
primary,persistent_history,high_to_low,1818,3,s1818-e07,handoff_depth,high,20,7,73,18,,3,0,dependency:handoff_depth|dependency:history_overflow|dependency:token_capacity|signal:new_contradiction|signal:unsafe_attempt
primary,persistent_history,high_to_low,1919,4,s1919-e09,latency_floor,high,15,10,96,17,,5,1,dependency:history_overflow|dependency:token_capacity|signal:unsafe_attempt|dependency:latency_floor|signal:new_contradiction
primary,persistent_history,high_to_low,2020,1,s2020-e00,memory_horizon,high,15,8,73,16,,1,0,dependency:history_overflow|dependency:memory_horizon|dependency:risk_tolerance|signal:unsafe_attempt|signal:new_contradiction
primary,persistent_history,high_to_low,2121,5,s2121-e13,risk_tolerance,high,20,8,83,16,,5,0,dependency:history_overflow|dependency:risk_tolerance|signal:unsafe_attempt|signal:new_contradiction|dependency:memory_horizon
primary,persistent_history,high_to_low,2222,1,s2222-e01,handoff_depth,high,20,9,98,20,,1,0,signal:unsafe_attempt|dependency:risk_tolerance|dependency:history_overflow|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,high_to_low,2323,5,s2323-e11,memory_horizon,high,20,10,93,16,,5,0,dependency:history_overflow|dependency:memory_horizon|signal:unsafe_attempt|dependency:latency_floor|signal:new_contradiction
primary,persistent_history,high_to_low,2424,2,s2424-e02,retry_demand,high,20,9,67,19,,2,0,dependency:retry_demand|signal:unsafe_attempt|dependency:history_overflow|signal:new_contradiction|dependency:token_capacity
primary,persistent_history,high_to_low,2525,2,s2525-e03,latency_floor,high,16,8,99,19,,2,0,signal:unsafe_attempt|dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,high_to_low,2626,4,s2626-e09,handoff_depth,high,15,9,82,17,5,5,1,dependency:history_overflow|signal:unsafe_attempt|dependency:token_capacity|dependency:risk_tolerance|dependency:retry_demand
primary,persistent_history,low_to_high,101,2,s101-e02,retry_demand,low,18,7,76,19,,5,3,dependency:retry_demand|dependency:history_overflow|dependency:handoff_depth|dependency:risk_tolerance|signal:new_contradiction
primary,persistent_history,low_to_high,202,7,s202-e16,handoff_depth,low,20,6,43,14,,11,4,dependency:history_overflow|dependency:token_capacity|signal:new_contradiction|dependency:retry_demand|signal:unsafe_attempt
primary,persistent_history,low_to_high,303,1,s303-e00,retry_demand,low,17,7,68,15,,5,4,dependency:history_overflow|dependency:retry_demand|signal:unsafe_attempt|signal:new_contradiction|dependency:memory_horizon
primary,persistent_history,low_to_high,404,7,s404-e14,latency_floor,low,20,9,63,14,,10,3,dependency:history_overflow|dependency:retry_demand|signal:new_contradiction|dependency:risk_tolerance|dependency:handoff_depth
primary,persistent_history,low_to_high,505,7,s505-e14,risk_tolerance,low,20,10,52,14,,8,1,dependency:history_overflow|signal:unsafe_attempt|signal:new_contradiction|dependency:latency_floor|dependency:token_capacity
primary,persistent_history,low_to_high,606,7,s606-e19,token_capacity,low,20,10,55,14,,10,3,dependency:history_overflow|signal:unsafe_attempt|dependency:memory_horizon|dependency:risk_tolerance|signal:new_contradiction
primary,persistent_history,low_to_high,707,6,s707-e14,risk_tolerance,low,20,8,68,15,,10,4,dependency:history_overflow|dependency:risk_tolerance|dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,persistent_history,low_to_high,808,5,s808-e13,handoff_depth,low,18,8,67,16,,5,0,dependency:history_overflow|dependency:memory_horizon|signal:unsafe_attempt|signal:new_contradiction|dependency:token_capacity
primary,persistent_history,low_to_high,909,1,s909-e04,latency_floor,low,17,6,56,15,,6,5,dependency:history_overflow|signal:unsafe_attempt|dependency:memory_horizon|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,low_to_high,1010,7,s1010-e15,risk_tolerance,low,20,9,59,14,,10,3,dependency:history_overflow|dependency:risk_tolerance|signal:unsafe_attempt|signal:new_contradiction|dependency:memory_horizon
primary,persistent_history,low_to_high,1111,1,s1111-e01,risk_tolerance,low,20,10,118,20,,5,4,dependency:risk_tolerance|dependency:memory_horizon|signal:unsafe_attempt|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,low_to_high,1212,7,s1212-e17,handoff_depth,low,14,6,46,14,2,12,5,dependency:history_overflow|dependency:token_capacity|signal:new_contradiction|dependency:retry_demand|dependency:latency_floor
primary,persistent_history,low_to_high,1313,6,s1313-e16,risk_tolerance,low,15,8,67,15,4,7,1,dependency:history_overflow|dependency:token_capacity|signal:unsafe_attempt|dependency:memory_horizon|dependency:risk_tolerance
primary,persistent_history,low_to_high,1414,7,s1414-e17,token_capacity,low,15,8,60,14,3,9,2,dependency:history_overflow|dependency:handoff_depth|signal:unsafe_attempt|signal:new_contradiction|dependency:memory_horizon
primary,persistent_history,low_to_high,1515,7,s1515-e18,memory_horizon,low,15,9,78,14,,10,3,dependency:history_overflow|dependency:latency_floor|dependency:handoff_depth|signal:unsafe_attempt|dependency:retry_demand
primary,persistent_history,low_to_high,1616,7,s1616-e12,memory_horizon,low,20,9,43,14,,12,5,dependency:history_overflow|dependency:token_capacity|signal:unsafe_attempt|dependency:handoff_depth|signal:new_contradiction
primary,persistent_history,low_to_high,1717,5,s1717-e11,handoff_depth,low,20,8,78,16,,5,0,dependency:history_overflow|dependency:memory_horizon|dependency:handoff_depth|signal:unsafe_attempt|dependency:latency_floor
primary,persistent_history,low_to_high,1818,3,s1818-e06,handoff_depth,low,12,5,57,18,,5,2,dependency:handoff_depth|dependency:history_overflow|signal:new_contradiction|dependency:token_capacity|signal:unsafe_attempt
primary,persistent_history,low_to_high,1919,7,s1919-e17,handoff_depth,low,20,9,62,14,,10,3,dependency:history_overflow|signal:unsafe_attempt|dependency:retry_demand|signal:new_contradiction|dependency:memory_horizon
primary,persistent_history,low_to_high,2020,7,s2020-e19,retry_demand,low,20,8,63,14,,10,3,dependency:history_overflow|dependency:risk_tolerance|dependency:token_capacity|signal:unsafe_attempt|dependency:memory_horizon
primary,persistent_history,low_to_high,2121,6,s2121-e16,risk_tolerance,low,20,9,76,15,,10,4,dependency:history_overflow|signal:new_contradiction|dependency:memory_horizon|dependency:handoff_depth|signal:unsafe_attempt
primary,persistent_history,low_to_high,2222,7,s2222-e18,retry_demand,low,20,8,41,14,,15,8,dependency:history_overflow|dependency:retry_demand|dependency:risk_tolerance|signal:unsafe_attempt|signal:new_contradiction
primary,persistent_history,low_to_high,2323,1,s2323-e03,latency_floor,low,20,9,54,20,,5,4,dependency:history_overflow|signal:unsafe_attempt|dependency:latency_floor|signal:new_contradiction|dependency:risk_tolerance
primary,persistent_history,low_to_high,2424,7,s2424-e18,token_capacity,low,20,8,43,14,,14,7,dependency:history_overflow|dependency:latency_floor|signal:unsafe_attempt|dependency:retry_demand|signal:new_contradiction
primary,persistent_history,low_to_high,2525,7,s2525-e18,risk_tolerance,low,15,8,72,14,,11,4,dependency:history_overflow|dependency:latency_floor|signal:new_contradiction|dependency:token_capacity|signal:unsafe_attempt
primary,persistent_history,low_to_high,2626,2,s2626-e02,latency_floor,low,17,9,92,19,,5,3,dependency:risk_tolerance|dependency:history_overflow|dependency:retry_demand|signal:new_contradiction|dependency:latency_floor
primary,persistent_history,randomized,101,2,s101-e04,handoff_depth,medium,18,9,106,19,,2,0,dependency:handoff_depth|signal:unsafe_attempt|dependency:history_overflow|dependency:retry_demand|dependency:risk_tolerance
primary,persistent_history,randomized,202,5,s202-e14,latency_floor,high,20,9,80,16,,5,0,dependency:history_overflow|dependency:latency_floor|signal:unsafe_attempt|dependency:handoff_depth|dependency:retry_demand
primary,persistent_history,randomized,303,5,s303-e05,risk_tolerance,high,15,7,74,16,,6,1,dependency:history_overflow|dependency:retry_demand|signal:unsafe_attempt|signal:new_contradiction|dependency:handoff_depth
primary,persistent_history,randomized,404,6,s404-e05,token_capacity,high,19,6,52,15,,11,5,dependency:history_overflow|dependency:latency_floor|signal:unsafe_attempt|signal:new_contradiction|dependency:risk_tolerance
primary,persistent_history,randomized,505,5,s505-e13,latency_floor,low,20,9,70,16,,10,5,dependency:history_overflow|dependency:latency_floor|signal:unsafe_attempt|signal:new_contradiction|dependency:token_capacity
primary,persistent_history,randomized,606,4,s606-e14,handoff_depth,high,20,8,70,17,,5,1,dependency:history_overflow|signal:unsafe_attempt|dependency:risk_tolerance|dependency:memory_horizon|signal:new_contradiction
