run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
amplitude_sweep,prose_summary,constant_high,404,20,2,1,2,0.60416667,0.41666667,0.16666667,12,4,1,5454,0
amplitude_sweep,receipt_ancestry,constant_high,404,20,10,1,10,0.79166667,0.66666667,0.66666667,4,3,3,5865,1
amplitude_sweep,fresh_ground_truth,constant_low,505,20,21,0,,1.0,1.0,1.0,0,0,0,5660,0
amplitude_sweep,persistent_history,constant_low,505,20,10,1,10,0.64583333,0.25,0.16666667,5,3,2,5125,1
amplitude_sweep,prose_summary,constant_low,505,20,4,1,4,0.45833333,0.66666667,0.83333333,9,4,3,5144,1
amplitude_sweep,receipt_ancestry,constant_low,505,20,10,1,10,0.72916667,0.75,1.0,0,3,2,5518,1
amplitude_sweep,fresh_ground_truth,constant_medium,505,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
amplitude_sweep,persistent_history,constant_medium,505,20,10,1,10,0.58333333,0.25,0.16666667,10,3,2,5380,1
amplitude_sweep,prose_summary,constant_medium,505,20,4,1,4,0.4375,0.66666667,0.83333333,11,4,3,5304,1
amplitude_sweep,receipt_ancestry,constant_medium,505,20,10,1,10,0.77083333,0.75,1.0,9,3,2,5693,1
amplitude_sweep,fresh_ground_truth,constant_high,505,20,21,0,,1.0,1.0,1.0,0,0,0,5960,0
amplitude_sweep,persistent_history,constant_high,505,20,7,1,7,0.64583333,0.16666667,0.0,9,3,1,5584,1
amplitude_sweep,prose_summary,constant_high,505,20,4,1,4,0.4375,0.66666667,0.83333333,16,4,3,5444,0
amplitude_sweep,receipt_ancestry,constant_high,505,20,10,1,10,0.77083333,0.75,1.0,9,3,2,5848,1
amplitude_sweep,fresh_ground_truth,constant_low,606,20,21,0,,1.0,1.0,1.0,0,0,0,5650,0
amplitude_sweep,persistent_history,constant_low,606,20,2,1,2,0.64583333,0.16666667,0.0,19,4,1,5105,1
amplitude_sweep,prose_summary,constant_low,606,20,5,1,5,0.54166667,0.33333333,0.33333333,2,4,3,5134,1
amplitude_sweep,receipt_ancestry,constant_low,606,20,7,1,7,0.85416667,0.83333333,0.83333333,7,3,3,5508,1
amplitude_sweep,fresh_ground_truth,constant_medium,606,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
amplitude_sweep,persistent_history,constant_medium,606,20,2,1,2,0.72916667,0.25,0.0,19,4,1,5380,1
amplitude_sweep,prose_summary,constant_medium,606,20,2,1,2,0.66666667,0.41666667,0.16666667,14,4,3,5294,1
amplitude_sweep,receipt_ancestry,constant_medium,606,20,7,1,7,0.89583333,0.83333333,0.83333333,5,3,3,5683,1
amplitude_sweep,fresh_ground_truth,constant_high,606,20,21,0,,1.0,1.0,1.0,0,0,0,5980,0
amplitude_sweep,persistent_history,constant_high,606,20,2,1,2,0.66666667,0.25,0.0,19,4,1,5604,1
amplitude_sweep,prose_summary,constant_high,606,20,1,1,1,0.625,0.41666667,0.16666667,15,4,3,5464,0
amplitude_sweep,receipt_ancestry,constant_high,606,20,7,1,7,0.91666667,0.91666667,0.66666667,4,3,3,5868,1
amplitude_sweep,fresh_ground_truth,constant_low,707,20,21,0,,1.0,1.0,1.0,0,0,0,5650,0
amplitude_sweep,persistent_history,constant_low,707,20,15,1,15,0.77083333,0.58333333,0.5,0,3,1,5065,1
amplitude_sweep,prose_summary,constant_low,707,20,5,1,5,0.6875,0.58333333,0.5,7,4,3,5134,1
amplitude_sweep,receipt_ancestry,constant_low,707,20,10,1,10,0.875,0.91666667,0.5,0,3,2,5492,1
amplitude_sweep,fresh_ground_truth,constant_medium,707,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
amplitude_sweep,persistent_history,constant_medium,707,20,13,1,13,0.83333333,0.58333333,0.5,8,2,0,5320,1
amplitude_sweep,prose_summary,constant_medium,707,20,5,1,5,0.72916667,0.66666667,0.5,8,4,3,5284,1
amplitude_sweep,receipt_ancestry,constant_medium,707,20,10,1,10,0.89583333,0.91666667,0.5,7,3,2,5659,1
amplitude_sweep,fresh_ground_truth,constant_high,707,20,21,0,,1.0,1.0,1.0,0,0,0,5940,0
amplitude_sweep,persistent_history,constant_high,707,20,3,1,3,0.66666667,0.5,0.33333333,18,4,1,5530,1
amplitude_sweep,prose_summary,constant_high,707,20,5,1,5,0.75,0.66666667,0.5,9,4,3,5424,0
amplitude_sweep,receipt_ancestry,constant_high,707,20,10,1,10,0.89583333,0.91666667,0.5,9,3,2,5814,1
amplitude_sweep,fresh_ground_truth,constant_low,808,20,21,0,,1.0,1.0,1.0,0,0,0,5650,0
amplitude_sweep,persistent_history,constant_low,808,20,9,1,9,0.625,0.08333333,0.0,12,3,3,5105,1
amplitude_sweep,prose_summary,constant_low,808,20,5,1,5,0.58333333,0.66666667,1.0,8,4,4,5134,1
amplitude_sweep,receipt_ancestry,constant_low,808,20,7,1,7,0.75,0.75,1.0,7,3,3,5501,1
amplitude_sweep,fresh_ground_truth,constant_medium,808,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
amplitude_sweep,persistent_history,constant_medium,808,20,1,1,1,0.52083333,0.08333333,0.0,20,4,4,5350,1
amplitude_sweep,prose_summary,constant_medium,808,20,3,1,3,0.64583333,0.75,1.0,13,4,4,5284,1
amplitude_sweep,receipt_ancestry,constant_medium,808,20,5,1,5,0.77083333,0.91666667,1.0,12,4,3,5666,1
amplitude_sweep,fresh_ground_truth,constant_high,808,20,21,0,,1.0,1.0,1.0,0,0,0,5980,0
amplitude_sweep,persistent_history,constant_high,808,20,1,1,1,0.58333333,0.25,0.0,18,4,4,5594,1
amplitude_sweep,prose_summary,constant_high,808,20,3,1,3,0.6875,0.75,1.0,9,4,4,5464,0
amplitude_sweep,receipt_ancestry,constant_high,808,20,7,1,7,0.89583333,1.0,1.0,4,2,2,5861,1
amplitude_sweep,fresh_ground_truth,constant_low,909,20,21,0,,1.0,1.0,1.0,0,0,0,5640,0
amplitude_sweep,persistent_history,constant_low,909,20,13,1,13,0.8125,0.66666667,0.66666667,4,3,2,5045,1
amplitude_sweep,prose_summary,constant_low,909,20,5,1,5,0.45833333,0.33333333,0.16666667,13,4,1,5124,1
amplitude_sweep,receipt_ancestry,constant_low,909,20,8,1,8,0.64583333,0.58333333,0.66666667,10,4,3,5491,1
amplitude_sweep,fresh_ground_truth,constant_medium,909,20,15,1,15,0.95833333,1.0,1.0,0,1,1,5790,1
amplitude_sweep,persistent_history,constant_medium,909,20,2,1,2,0.77083333,0.58333333,0.66666667,11,3,2,5310,1
amplitude_sweep,prose_summary,constant_medium,909,20,5,1,5,0.375,0.25,0.0,13,4,1,5274,1
amplitude_sweep,receipt_ancestry,constant_medium,909,20,2,1,2,0.6875,0.75,0.83333333,9,4,3,5656,1
amplitude_sweep,fresh_ground_truth,constant_high,909,20,15,1,15,0.95833333,1.0,1.0,0,1,1,5970,1
amplitude_sweep,persistent_history,constant_high,909,20,2,1,2,0.625,0.41666667,0.33333333,19,4,2,5604,1
amplitude_sweep,prose_summary,constant_high,909,20,5,1,5,0.375,0.25,0.0,14,4,1,5454,0
amplitude_sweep,receipt_ancestry,constant_high,909,20,2,1,2,0.70833333,0.83333333,0.83333333,14,4,3,5851,1
amplitude_sweep,fresh_ground_truth,constant_low,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5660,0
amplitude_sweep,persistent_history,constant_low,1010,20,7,1,7,0.6875,0.41666667,0.33333333,4,3,2,5115,1
amplitude_sweep,prose_summary,constant_low,1010,20,5,1,5,0.60416667,0.41666667,0.66666667,5,4,2,5144,1
amplitude_sweep,receipt_ancestry,constant_low,1010,20,5,1,5,0.66666667,0.5,0.83333333,2,4,3,5518,1
amplitude_sweep,fresh_ground_truth,constant_medium,1010,20,7,1,7,1.0,1.0,1.0,1,0,0,5800,1
