condition,policy,seed,cycle,tip_id,tip_depth,receipt_used,success,recovery_cost,failure_reason
diffusive_first_contact,random_repair,5101,8,di-5101-008,2,1,1,3,
diffusive_first_contact,random_repair,5101,16,di-5101-012,4,1,1,5,
diffusive_first_contact,random_repair,5101,24,di-5101-021,5,1,0,4,receipt_reference_unavailable
diffusive_first_contact,random_repair,5101,32,di-5101-021,5,1,1,6,
diffusive_first_contact,random_repair,5101,40,di-5101-039,6,1,1,7,
diffusive_first_contact,random_repair,5101,48,di-5101-048,8,1,1,9,
diffusive_first_contact,oldest_first,5101,8,di-5101-007,2,1,0,2,receipt_reference_unavailable
diffusive_first_contact,oldest_first,5101,16,di-5101-012,3,1,1,4,
diffusive_first_contact,oldest_first,5101,24,di-5101-017,4,1,1,5,
diffusive_first_contact,oldest_first,5101,32,di-5101-028,5,1,1,6,
diffusive_first_contact,oldest_first,5101,40,di-5101-028,5,1,1,6,
diffusive_first_contact,oldest_first,5101,48,di-5101-028,5,1,0,4,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5101,8,di-5101-008,2,1,1,3,
diffusive_first_contact,tip_targeted,5101,16,di-5101-009,3,1,0,3,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5101,24,di-5101-009,3,1,1,4,
diffusive_first_contact,tip_targeted,5101,32,di-5101-009,3,1,1,4,
diffusive_first_contact,tip_targeted,5101,40,di-5101-039,4,1,0,3,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5101,48,di-5101-039,4,1,1,5,
uniform_null,no_intervention,5102,8,un-5102-008,2,0,1,3,
uniform_null,no_intervention,5102,16,un-5102-014,4,0,1,5,
uniform_null,no_intervention,5102,24,un-5102-023,5,0,0,1,visible_parent_lost
uniform_null,no_intervention,5102,32,un-5102-032,5,0,0,3,visible_parent_lost
uniform_null,no_intervention,5102,40,un-5102-038,6,0,0,2,visible_parent_lost
uniform_null,no_intervention,5102,48,un-5102-038,6,0,0,2,visible_parent_lost
uniform_null,logging_only,5102,8,un-5102-008,2,1,1,3,
uniform_null,logging_only,5102,16,un-5102-014,4,1,1,5,
uniform_null,logging_only,5102,24,un-5102-023,5,1,1,6,
uniform_null,logging_only,5102,32,un-5102-032,5,1,1,6,
uniform_null,logging_only,5102,40,un-5102-038,6,1,1,7,
uniform_null,logging_only,5102,48,un-5102-038,6,1,0,1,receipt_reference_unavailable
uniform_null,random_repair,5102,8,un-5102-008,2,1,1,3,
uniform_null,random_repair,5102,16,un-5102-014,4,1,1,5,
uniform_null,random_repair,5102,24,un-5102-021,5,1,1,6,
uniform_null,random_repair,5102,32,un-5102-021,5,1,1,6,
uniform_null,random_repair,5102,40,un-5102-038,6,1,1,7,
uniform_null,random_repair,5102,48,un-5102-038,6,1,0,4,receipt_reference_unavailable
uniform_null,oldest_first,5102,8,un-5102-008,2,1,1,3,
uniform_null,oldest_first,5102,16,un-5102-014,4,1,0,1,receipt_reference_unavailable
uniform_null,oldest_first,5102,24,un-5102-018,5,1,0,1,receipt_reference_unavailable
uniform_null,oldest_first,5102,32,un-5102-031,6,1,0,4,receipt_reference_unavailable
uniform_null,oldest_first,5102,40,un-5102-038,8,1,0,1,receipt_reference_unavailable
uniform_null,oldest_first,5102,48,un-5102-038,8,1,0,6,receipt_reference_unavailable
uniform_null,tip_targeted,5102,8,un-5102-005,2,1,1,3,
uniform_null,tip_targeted,5102,16,un-5102-014,4,1,1,5,
uniform_null,tip_targeted,5102,24,un-5102-018,5,1,1,6,
uniform_null,tip_targeted,5102,32,un-5102-030,6,1,0,3,receipt_reference_unavailable
uniform_null,tip_targeted,5102,40,un-5102-025,5,1,0,4,receipt_reference_unavailable
uniform_null,tip_targeted,5102,48,un-5102-025,5,1,1,6,
least_capture_balancer,no_intervention,5102,8,le-5102-008,2,0,1,3,
least_capture_balancer,no_intervention,5102,16,le-5102-015,4,0,1,5,
least_capture_balancer,no_intervention,5102,24,le-5102-024,5,0,1,6,
least_capture_balancer,no_intervention,5102,32,le-5102-026,6,0,0,4,visible_parent_lost
least_capture_balancer,no_intervention,5102,40,le-5102-040,7,0,0,3,visible_parent_lost
least_capture_balancer,no_intervention,5102,48,le-5102-045,8,0,0,1,visible_parent_lost
least_capture_balancer,logging_only,5102,8,le-5102-008,2,1,1,3,
least_capture_balancer,logging_only,5102,16,le-5102-015,4,1,1,5,
least_capture_balancer,logging_only,5102,24,le-5102-024,5,1,1,6,
least_capture_balancer,logging_only,5102,32,le-5102-026,6,1,1,7,
least_capture_balancer,logging_only,5102,40,le-5102-040,7,1,0,4,receipt_reference_unavailable
least_capture_balancer,logging_only,5102,48,le-5102-045,8,1,0,2,receipt_reference_unavailable
least_capture_balancer,random_repair,5102,8,le-5102-008,2,1,1,3,
least_capture_balancer,random_repair,5102,16,le-5102-015,4,1,1,5,
least_capture_balancer,random_repair,5102,24,le-5102-024,6,1,1,7,
least_capture_balancer,random_repair,5102,32,le-5102-032,6,1,0,2,receipt_reference_unavailable
least_capture_balancer,random_repair,5102,40,le-5102-039,8,1,1,9,
least_capture_balancer,random_repair,5102,48,le-5102-042,8,1,0,2,receipt_reference_unavailable
least_capture_balancer,oldest_first,5102,8,le-5102-008,2,1,1,3,
least_capture_balancer,oldest_first,5102,16,le-5102-014,5,1,1,6,
least_capture_balancer,oldest_first,5102,24,le-5102-024,7,1,0,5,receipt_reference_unavailable
least_capture_balancer,oldest_first,5102,32,le-5102-024,7,1,0,3,receipt_reference_unavailable
least_capture_balancer,oldest_first,5102,40,le-5102-039,9,1,0,6,receipt_reference_unavailable
least_capture_balancer,oldest_first,5102,48,le-5102-045,10,1,1,11,
least_capture_balancer,tip_targeted,5102,8,le-5102-008,2,1,1,3,
least_capture_balancer,tip_targeted,5102,16,le-5102-015,3,1,0,3,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5102,24,le-5102-023,5,1,1,6,
least_capture_balancer,tip_targeted,5102,32,le-5102-026,6,1,1,7,
least_capture_balancer,tip_targeted,5102,40,le-5102-026,6,1,1,7,
least_capture_balancer,tip_targeted,5102,48,le-5102-026,6,1,1,7,
diffusive_first_contact,no_intervention,5102,8,di-5102-005,2,0,1,3,
diffusive_first_contact,no_intervention,5102,16,di-5102-015,4,0,0,4,visible_parent_lost
diffusive_first_contact,no_intervention,5102,24,di-5102-017,5,0,0,1,visible_parent_lost
diffusive_first_contact,no_intervention,5102,32,di-5102-032,5,0,1,6,
diffusive_first_contact,no_intervention,5102,40,di-5102-038,6,0,0,3,visible_parent_lost
diffusive_first_contact,no_intervention,5102,48,di-5102-043,7,0,0,2,visible_parent_lost
diffusive_first_contact,logging_only,5102,8,di-5102-005,2,1,1,3,
diffusive_first_contact,logging_only,5102,16,di-5102-015,4,1,1,5,
diffusive_first_contact,logging_only,5102,24,di-5102-017,5,1,0,2,receipt_reference_unavailable
diffusive_first_contact,logging_only,5102,32,di-5102-032,5,1,1,6,
diffusive_first_contact,logging_only,5102,40,di-5102-038,6,1,1,7,
diffusive_first_contact,logging_only,5102,48,di-5102-043,7,1,0,1,receipt_reference_unavailable
diffusive_first_contact,random_repair,5102,8,di-5102-008,2,1,1,3,
diffusive_first_contact,random_repair,5102,16,di-5102-013,4,1,0,2,receipt_reference_unavailable
diffusive_first_contact,random_repair,5102,24,di-5102-021,5,1,1,6,
diffusive_first_contact,random_repair,5102,32,di-5102-021,5,1,1,6,
diffusive_first_contact,random_repair,5102,40,di-5102-040,6,1,1,7,
diffusive_first_contact,random_repair,5102,48,di-5102-045,6,1,1,7,
diffusive_first_contact,oldest_first,5102,8,di-5102-008,2,1,1,3,
diffusive_first_contact,oldest_first,5102,16,di-5102-013,4,1,1,5,
diffusive_first_contact,oldest_first,5102,24,di-5102-022,6,1,1,7,
diffusive_first_contact,oldest_first,5102,32,di-5102-030,7,1,1,8,
diffusive_first_contact,oldest_first,5102,40,di-5102-035,8,1,1,9,
diffusive_first_contact,oldest_first,5102,48,di-5102-041,9,1,0,2,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5102,8,di-5102-005,2,1,1,3,
diffusive_first_contact,tip_targeted,5102,16,di-5102-012,3,1,1,4,
diffusive_first_contact,tip_targeted,5102,24,di-5102-021,4,1,1,5,
diffusive_first_contact,tip_targeted,5102,32,di-5102-029,5,1,1,6,
diffusive_first_contact,tip_targeted,5102,40,di-5102-029,5,1,0,5,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5102,48,di-5102-044,7,1,0,6,receipt_reference_unavailable
uniform_null,no_intervention,5103,8,un-5103-008,3,0,0,3,visible_parent_lost
uniform_null,no_intervention,5103,16,un-5103-013,3,0,0,3,visible_parent_lost
uniform_null,no_intervention,5103,24,un-5103-024,4,0,0,2,visible_parent_lost
uniform_null,no_intervention,5103,32,un-5103-032,4,0,0,3,visible_parent_lost
uniform_null,no_intervention,5103,40,un-5103-035,5,0,0,2,visible_parent_lost
uniform_null,no_intervention,5103,48,un-5103-046,6,0,0,3,visible_parent_lost
uniform_null,logging_only,5103,8,un-5103-008,3,1,0,2,receipt_reference_unavailable
uniform_null,logging_only,5103,16,un-5103-013,3,1,0,2,receipt_reference_unavailable
uniform_null,logging_only,5103,24,un-5103-024,4,1,1,5,
uniform_null,logging_only,5103,32,un-5103-032,4,1,1,5,
uniform_null,logging_only,5103,40,un-5103-035,5,1,1,6,
uniform_null,logging_only,5103,48,un-5103-046,6,1,1,7,
uniform_null,random_repair,5103,8,un-5103-003,2,1,1,3,
uniform_null,random_repair,5103,16,un-5103-013,3,1,1,4,
uniform_null,random_repair,5103,24,un-5103-024,3,1,0,2,receipt_reference_unavailable
uniform_null,random_repair,5103,32,un-5103-032,5,1,0,5,receipt_reference_unavailable
uniform_null,random_repair,5103,40,un-5103-034,6,1,1,7,
uniform_null,random_repair,5103,48,un-5103-046,6,1,1,7,
uniform_null,oldest_first,5103,8,un-5103-008,2,1,1,3,
uniform_null,oldest_first,5103,16,un-5103-015,3,1,1,4,
uniform_null,oldest_first,5103,24,un-5103-024,4,1,0,3,receipt_reference_unavailable
uniform_null,oldest_first,5103,32,un-5103-032,4,1,1,5,
uniform_null,oldest_first,5103,40,un-5103-034,5,1,0,3,receipt_reference_unavailable
uniform_null,oldest_first,5103,48,un-5103-044,6,1,0,5,receipt_reference_unavailable
uniform_null,tip_targeted,5103,8,un-5103-008,2,1,0,1,receipt_reference_unavailable
uniform_null,tip_targeted,5103,16,un-5103-015,3,1,1,4,
uniform_null,tip_targeted,5103,24,un-5103-024,3,1,1,4,
uniform_null,tip_targeted,5103,32,un-5103-032,5,1,0,3,receipt_reference_unavailable
uniform_null,tip_targeted,5103,40,un-5103-034,6,1,0,1,receipt_reference_unavailable
uniform_null,tip_targeted,5103,48,un-5103-044,7,1,1,8,
least_capture_balancer,no_intervention,5103,8,le-5103-006,5,0,1,6,
least_capture_balancer,no_intervention,5103,16,le-5103-006,5,0,0,3,visible_parent_lost
least_capture_balancer,no_intervention,5103,24,le-5103-006,5,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5103,32,le-5103-006,5,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5103,40,le-5103-006,5,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5103,48,le-5103-048,5,0,0,3,visible_parent_lost
least_capture_balancer,logging_only,5103,8,le-5103-006,5,1,0,4,receipt_reference_unavailable
least_capture_balancer,logging_only,5103,16,le-5103-006,5,1,0,4,receipt_reference_unavailable
least_capture_balancer,logging_only,5103,24,le-5103-006,5,1,1,6,
least_capture_balancer,logging_only,5103,32,le-5103-006,5,1,1,6,
least_capture_balancer,logging_only,5103,40,le-5103-006,5,1,0,4,receipt_reference_unavailable
least_capture_balancer,logging_only,5103,48,le-5103-048,5,1,1,6,
least_capture_balancer,random_repair,5103,8,le-5103-003,2,1,0,1,receipt_reference_unavailable
least_capture_balancer,random_repair,5103,16,le-5103-015,4,1,1,5,
least_capture_balancer,random_repair,5103,24,le-5103-015,4,1,1,5,
least_capture_balancer,random_repair,5103,32,le-5103-031,4,1,1,5,
least_capture_balancer,random_repair,5103,40,le-5103-031,4,1,1,5,
least_capture_balancer,random_repair,5103,48,le-5103-047,6,1,1,7,
least_capture_balancer,oldest_first,5103,8,le-5103-006,5,1,1,6,
least_capture_balancer,oldest_first,5103,16,le-5103-013,6,1,1,7,
least_capture_balancer,oldest_first,5103,24,le-5103-013,6,1,0,6,receipt_reference_unavailable
least_capture_balancer,oldest_first,5103,32,le-5103-029,7,1,1,8,
least_capture_balancer,oldest_first,5103,40,le-5103-040,9,1,0,3,receipt_reference_unavailable
least_capture_balancer,oldest_first,5103,48,le-5103-040,9,1,0,5,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5103,8,le-5103-003,2,1,1,3,
least_capture_balancer,tip_targeted,5103,16,le-5103-015,3,1,1,4,
least_capture_balancer,tip_targeted,5103,24,le-5103-024,4,1,1,5,
least_capture_balancer,tip_targeted,5103,32,le-5103-024,4,1,1,5,
least_capture_balancer,tip_targeted,5103,40,le-5103-039,5,1,0,2,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5103,48,le-5103-048,5,1,0,5,receipt_reference_unavailable
diffusive_first_contact,no_intervention,5103,8,di-5103-008,4,0,1,5,
diffusive_first_contact,no_intervention,5103,16,di-5103-015,6,0,0,4,visible_parent_lost
diffusive_first_contact,no_intervention,5103,24,di-5103-024,7,0,0,2,visible_parent_lost
diffusive_first_contact,no_intervention,5103,32,di-5103-024,7,0,0,2,visible_parent_lost
diffusive_first_contact,no_intervention,5103,40,di-5103-024,7,0,0,2,visible_parent_lost
diffusive_first_contact,no_intervention,5103,48,di-5103-024,7,0,0,1,visible_parent_lost
diffusive_first_contact,logging_only,5103,8,di-5103-008,4,1,1,5,
diffusive_first_contact,logging_only,5103,16,di-5103-015,6,1,1,7,
diffusive_first_contact,logging_only,5103,24,di-5103-024,7,1,0,1,receipt_reference_unavailable
diffusive_first_contact,logging_only,5103,32,di-5103-024,7,1,1,8,
diffusive_first_contact,logging_only,5103,40,di-5103-024,7,1,1,8,
diffusive_first_contact,logging_only,5103,48,di-5103-024,7,1,0,4,receipt_reference_unavailable
diffusive_first_contact,random_repair,5103,8,di-5103-008,4,1,1,5,
diffusive_first_contact,random_repair,5103,16,di-5103-015,6,1,0,4,receipt_reference_unavailable
diffusive_first_contact,random_repair,5103,24,di-5103-024,7,1,1,8,
diffusive_first_contact,random_repair,5103,32,di-5103-024,7,1,0,1,receipt_reference_unavailable
diffusive_first_contact,random_repair,5103,40,di-5103-038,8,1,1,9,
diffusive_first_contact,random_repair,5103,48,di-5103-038,8,1,0,4,receipt_reference_unavailable
diffusive_first_contact,oldest_first,5103,8,di-5103-008,4,1,1,5,
diffusive_first_contact,oldest_first,5103,16,di-5103-014,4,1,1,5,
diffusive_first_contact,oldest_first,5103,24,di-5103-014,4,1,1,5,
diffusive_first_contact,oldest_first,5103,32,di-5103-014,4,1,1,5,
diffusive_first_contact,oldest_first,5103,40,di-5103-037,5,1,0,2,receipt_reference_unavailable
diffusive_first_contact,oldest_first,5103,48,di-5103-037,5,1,0,1,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5103,8,di-5103-008,4,1,0,3,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5103,16,di-5103-015,6,1,0,3,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5103,24,di-5103-018,6,1,0,1,receipt_reference_unavailable
diffusive_first_contact,tip_targeted,5103,32,di-5103-028,7,1,1,8,
diffusive_first_contact,tip_targeted,5103,40,di-5103-038,8,1,1,9,
diffusive_first_contact,tip_targeted,5103,48,di-5103-048,10,1,0,4,receipt_reference_unavailable
uniform_null,no_intervention,5104,8,un-5104-007,3,0,0,1,visible_parent_lost
uniform_null,no_intervention,5104,16,un-5104-011,3,0,1,4,
uniform_null,no_intervention,5104,24,un-5104-021,5,0,0,3,visible_parent_lost
uniform_null,no_intervention,5104,32,un-5104-021,5,0,0,2,visible_parent_lost
uniform_null,no_intervention,5104,40,un-5104-033,6,0,0,3,visible_parent_lost
uniform_null,no_intervention,5104,48,un-5104-033,6,0,0,3,visible_parent_lost
uniform_null,logging_only,5104,8,un-5104-007,3,1,1,4,
uniform_null,logging_only,5104,16,un-5104-011,3,1,0,2,receipt_reference_unavailable
uniform_null,logging_only,5104,24,un-5104-021,5,1,0,1,receipt_reference_unavailable
uniform_null,logging_only,5104,32,un-5104-021,5,1,0,4,receipt_reference_unavailable
